2021-11-30 10:11:16 [main] [main] [17] INFO  com.epamjwd.task5.Main - started
2021-11-30 10:11:16 [Thread-1] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-1 was run
2021-11-30 10:11:16 [Thread-2] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-2 was run
2021-11-30 10:11:16 [Thread-0] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-0 was run
2021-11-30 10:11:16 [Thread-4] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-4 was run
2021-11-30 10:11:16 [Thread-3] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-3 was run
2021-11-30 10:11:16 [Thread-5] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-5 was run
2021-11-30 10:11:16 [Thread-7] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-7 was run
2021-11-30 10:11:16 [Thread-8] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-8 was run
2021-11-30 10:11:16 [Thread-6] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-6 was run
2021-11-30 10:11:16 [Thread-9] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-9 was run
2021-11-30 10:11:19 [Thread-1] [obtainPlace] [47] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-1 took place on ferry (Current weight=900, Current square=1600)
2021-11-30 10:11:22 [Thread-0] [obtainPlace] [47] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-0 took place on ferry (Current weight=1792, Current square=3100)
2021-11-30 10:11:27 [Thread-8] [shipCars] [63] INFO  com.epamjwd.task5.entity.Ferry - Ferry finish shipping cars
2021-11-30 10:11:30 [Thread-9] [obtainPlace] [47] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-9 took place on ferry (Current weight=950, Current square=1700)
2021-11-30 10:11:33 [Thread-4] [obtainPlace] [47] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-4 took place on ferry (Current weight=1800, Current square=3440)
2021-11-30 10:11:39 [Thread-2] [shipCars] [63] INFO  com.epamjwd.task5.entity.Ferry - Ferry finish shipping cars
2021-11-30 10:11:42 [Thread-6] [obtainPlace] [47] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-6 took place on ferry (Current weight=600, Current square=1000)
2021-11-30 10:11:45 [Thread-3] [obtainPlace] [47] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-3 took place on ferry (Current weight=795, Current square=3500)
2021-11-30 10:11:50 [Thread-7] [shipCars] [63] INFO  com.epamjwd.task5.entity.Ferry - Ferry finish shipping cars
2021-11-30 10:11:53 [Thread-5] [obtainPlace] [47] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-5 took place on ferry (Current weight=180, Current square=2000)
