2021-11-30 10:20:33 [main] [main] [17] INFO  com.epamjwd.task5.Main - started
2021-11-30 10:20:33 [Thread-0] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-0 was run
2021-11-30 10:20:33 [Thread-2] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-2 was run
2021-11-30 10:20:33 [Thread-1] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-1 was run
2021-11-30 10:20:33 [Thread-4] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-4 was run
2021-11-30 10:20:33 [Thread-7] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-7 was run
2021-11-30 10:20:33 [Thread-8] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-8 was run
2021-11-30 10:20:33 [Thread-3] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-3 was run
2021-11-30 10:20:33 [Thread-9] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-9 was run
2021-11-30 10:20:33 [Thread-5] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-5 was run
2021-11-30 10:20:33 [Thread-6] [run] [45] INFO  com.epamjwd.task5.entity.Car - Car thread Thread-6 was run
2021-11-30 10:20:36 [Thread-1] [obtainPlace] [56] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-1 took place on ferry (Current weight=900, Current square=1600)
2021-11-30 10:20:39 [Thread-9] [obtainPlace] [56] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-9 took place on ferry (Current weight=1850, Current square=3300)
2021-11-30 10:20:44 [Thread-10] [shipCars] [71] INFO  com.epamjwd.task5.entity.Ferry - Ferry finish shipping cars
2021-11-30 10:20:47 [Thread-5] [obtainPlace] [56] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-5 took place on ferry (Current weight=180, Current square=2000)
2021-11-30 10:20:50 [Thread-6] [obtainPlace] [56] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-6 took place on ferry (Current weight=780, Current square=3000)
2021-11-30 10:20:55 [Thread-11] [shipCars] [71] INFO  com.epamjwd.task5.entity.Ferry - Ferry finish shipping cars
2021-11-30 10:20:58 [Thread-8] [obtainPlace] [56] INFO  com.epamjwd.task5.entity.Ferry - The car Thread-8 took place on ferry (Current weight=892, Current square=1500)
